person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_percent_income,cb_person_default_on_file
22,59000,RENT,123.0,PERSONAL,35000,0.59,Y
21,9600,OWN,5.0,EDUCATION,1000,0.1,N
25,9600,MORTGAGE,1.0,MEDICAL,5500,0.57,N
23,65500,RENT,4.0,MEDICAL,35000,0.53,N
24,54400,RENT,8.0,MEDICAL,35000,0.55,Y
21,9900,OWN,2.0,VENTURE,2500,0.25,N
26,77100,RENT,8.0,EDUCATION,35000,0.45,N
24,78956,RENT,5.0,MEDICAL,35000,0.44,N
24,83000,RENT,8.0,PERSONAL,35000,0.42,N
21,10000,OWN,6.0,VENTURE,1600,0.16,N
22,85000,RENT,6.0,VENTURE,35000,0.41,N
21,10000,OWN,2.0,HOMEIMPROVEMENT,4500,0.45,N
23,95000,RENT,2.0,VENTURE,35000,0.37,N
26,108160,RENT,4.0,EDUCATION,35000,0.32,N
23,115000,RENT,2.0,EDUCATION,35000,0.3,N
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,30000,0.06,N
23,120000,RENT,0.0,EDUCATION,35000,0.29,N
23,92111,RENT,7.0,MEDICAL,35000,0.32,N
23,113000,RENT,8.0,DEBTCONSOLIDATION,35000,0.31,N
24,10800,MORTGAGE,8.0,EDUCATION,1750,0.16,N
25,162500,RENT,2.0,VENTURE,35000,0.22,N
25,137000,RENT,9.0,PERSONAL,34800,0.25,Y
22,65000,RENT,4.0,EDUCATION,34000,0.52,N
24,10980,OWN,0.0,PERSONAL,1500,0.14,N
22,80000,RENT,3.0,PERSONAL,33950,0.42,Y
24,67746,RENT,8.0,HOMEIMPROVEMENT,33000,0.49,N
21,11000,MORTGAGE,3.0,VENTURE,4575,0.42,Y
23,11000,OWN,0.0,PERSONAL,1400,0.13,N
24,65000,RENT,6.0,HOMEIMPROVEMENT,32500,0.5,N
21,11389,OTHER,5.0,EDUCATION,4000,0.35,Y
21,11520,OWN,5.0,MEDICAL,2000,0.17,N
25,120000,RENT,2.0,VENTURE,32000,0.27,N
26,95000,RENT,7.0,HOMEIMPROVEMENT,31050,0.33,Y
